iter	Passed	Remaining
288	24667	60686
289	24738	60566
290	24833	60504
291	24918	60419
292	25001	60328
293	25076	60217
294	25148	60099
295	25212	59965
296	25289	59860
297	25365	59754
298	25431	59623
299	25508	59519
300	25581	59406
301	25645	59273
302	25723	59172
303	25797	59063
304	25879	58970
305	25961	58880
306	26026	58750
307	26094	58628
308	26179	58544
309	26249	58425
310	26327	58326
311	26401	58217
312	26500	58165
313	26570	58049
314	26641	57934
315	26703	57801
316	26773	57685
317	26840	57562
318	26926	57482
319	27017	57411
320	27101	57326
321	27186	57244
322	27276	57170
323	27366	57097
324	27444	56999
325	27514	56886
326	27581	56765
327	27658	56666
328	27724	56545
329	27794	56430
330	27862	56314
331	27933	56204
332	27997	56079
333	28067	55967
334	28132	55845
335	28200	55728
336	28270	55618
337	28340	55507
338	28406	55387
339	28469	55263
340	28540	55156
341	28607	55039
342	28663	54902
343	28728	54784
344	28793	54665
345	28884	54597
346	28966	54509
347	29035	54399
348	29098	54278
349	29171	54175
350	29238	54061
351	29313	53962
352	29378	53846
353	29449	53742
354	29524	53642
355	29591	53530
356	29668	53437
357	29748	53347
358	29804	53215
359	29878	53117
360	29936	52989
361	29994	52862
362	30059	52748
363	30131	52646
364	30204	52547
365	30274	52442
366	30336	52324
367	30396	52202
368	30461	52090
369	30539	51999
370	30614	51904
371	30679	51792
372	30746	51684
373	30816	51580
374	30861	51436
375	30921	51316
376	30969	51177
377	31042	51080
378	31103	50963
379	31162	50844
380	31229	50738
381	31295	50629
382	31352	50507
383	31409	50385
384	31476	50280
385	31544	50177
386	31603	50059
387	31669	49952
388	31745	49862
389	31812	49758
390	31887	49666
391	31938	49537
392	31990	49410
393	32045	49287
394	32107	49177
395	32170	49068
396	32241	48971
397	32306	48865
398	32375	48765
399	32424	48637
400	32492	48536
401	32554	48427
402	32623	48328
403	32689	48224
404	32762	48132
405	32815	48010
406	32881	47908
407	32935	47788
408	32999	47683
409	33065	47581
410	33126	47473
411	33189	47367
412	33266	47282
413	33332	47180
414	33394	47074
415	33466	46981
416	33528	46875
417	33600	46784
418	33666	46682
419	33736	46587
420	33804	46491
421	33873	46396
422	33942	46299
423	34021	46217
424	34096	46130
425	34169	46041
426	34234	45940
427	34306	45848
428	34393	45778
429	34468	45691
430	34548	45610
431	34627	45528
432	34695	45432
433	34806	45392
434	34908	45341
435	35025	45308
436	35110	45234
437	35236	45212
438	35354	45179
439	35470	45144
440	35589	45111
441	35671	45032
442	35750	44949
443	35829	44866
444	35909	44785
445	35990	44705
446	36063	44616
447	36137	44526
448	36214	44441
449	36287	44351
450	36360	44261
451	36432	44170
452	36507	44083
453	36582	43995
454	36666	43919
455	36735	43824
456	36810	43737
457	36888	43654
458	36959	43562
459	37029	43469
460	37092	43368
461	37170	43284
462	37244	43196
463	37322	43114
464	37399	43029
465	37473	42941
466	37562	42870
467	37654	42803
468	37730	42718
469	37814	42642
470	37907	42575
471	37995	42503
472	38085	42433
473	38153	42339
474	38253	42279
475	38342	42208
476	38426	42132
477	38498	42042
478	38599	41983
479	38675	41898
480	38754	41815
481	38833	41733
482	38910	41649
483	38979	41556
484	39054	41470
485	39131	41386
486	39221	41315
487	39298	41230
488	39379	41151
489	39453	41063
490	39532	40982
491	39604	40892
492	39680	40807
493	39759	40725
494	39842	40647
495	39924	40568
496	40000	40483
497	40080	40402
498	40159	40320
499	40237	40237
500	40311	40150
501	40394	40072
502	40472	39989
503	40540	39896
504	40613	39809
505	40691	39726
506	40772	39646
507	40849	39562
508	40922	39475
509	40995	39387
510	41068	39299
511	41145	39216
512	41224	39135
513	41297	39047
514	41381	38970
515	41448	38878
516	41529	38797
517	41608	38716
518	41692	38639
519	41773	38559
520	41846	38472
521	41911	38378
522	41982	38289
523	42049	38198
524	42126	38114
525	42203	38031
526	42280	37948
527	42353	37861
528	42425	37774
529	42492	37682
530	42561	37592
531	42642	37512
532	42715	37425
533	42788	37340
534	42868	37259
535	42942	37174
536	43012	37084
537	43082	36996
538	43158	36913
539	43235	36830
540	43308	36744
541	43377	36655
542	43459	36576
543	43536	36493
544	43619	36416
545	43693	36331
546	43768	36247
547	43844	36163
548	43917	36077
549	43990	35992
550	44059	35903
551	44132	35817
552	44215	35740
553	44293	35658
554	44369	35575
555	44442	35490
556	44522	35410
557	44596	35325
558	44681	35249
559	44763	35171
560	44850	35097
561	44940	35024
562	45034	34955
563	45121	34880
564	45213	34810
565	45310	34743
566	45385	34659
567	45459	34574
568	45544	34498
569	45625	34419
570	45695	34331
571	45773	34250
572	45854	34170
573	45923	34082
574	46002	34001
575	46064	33908
576	46132	33819
577	46204	33733
578	46278	33649
579	46367	33576
580	46442	33492
581	46512	33406
582	46584	33320
583	46665	33241
584	46734	33153
585	46813	33073
586	46892	32992
587	46978	32916
588	47068	32844
589	47141	32759
590	47221	32679
591	47302	32600
592	47381	32519
593	47459	32438
594	47548	32364
595	47624	32282
596	47716	32210
597	47805	32136
598	47891	32061
599	47978	31985
600	48063	31908
601	48150	31833
602	48247	31765
603	48348	31699
604	48446	31630
605	48525	31549
606	48605	31469
607	48696	31396
608	48775	31315
609	48854	31235
610	48932	31153
611	49010	31072
612	49088	30990
613	49162	30906
614	49239	30824
615	49322	30746
616	49397	30663
617	49474	30581
618	49554	30501
619	49636	30422
620	49711	30338
621	49790	30258
622	49873	30180
623	49956	30102
624	50047	30028
625	50125	29947
626	50208	29869
627	50288	29788
628	50361	29704
629	50435	29620
630	50508	29536
631	50586	29455
632	50669	29376
633	50739	29291
634	50814	29208
635	50883	29121
636	50959	29039
637	51040	28960
638	51114	28877
639	51191	28795
640	51275	28717
641	51355	28637
642	51434	28557
643	51516	28478
644	51596	28398
645	51671	28315
646	51751	28235
647	51827	28153
648	51909	28074
649	51988	27993
650	52065	27912
651	52138	27828
652	52225	27752
653	52302	27670
654	52375	27587
655	52446	27502
656	52521	27420
657	52602	27340
658	52682	27260
659	52751	27174
660	52811	27085
661	52893	27005
662	52968	26923
663	53039	26839
664	53107	26753
665	53184	26672
666	53254	26587
667	53320	26500
668	53401	26421
669	53477	26339
670	53557	26259
671	53626	26174
672	53701	26092
673	53761	26003
674	53830	25918
675	53903	25835
676	53976	25752
677	54052	25671
678	54120	25585
679	54203	25507
680	54271	25422
681	54344	25339
682	54416	25256
683	54501	25178
684	54575	25096
685	54646	25013
686	54719	24930
687	54803	24852
688	54873	24768
689	54955	24690
690	55051	24617
691	55128	24536
692	55225	24465
693	55305	24385
694	55392	24309
695	55467	24227
696	55540	24144
697	55616	24063
698	55679	23976
699	55757	23896
700	55827	23812
701	55905	23731
702	55985	23652
703	56068	23574
704	56142	23492
705	56219	23411
706	56300	23332
707	56373	23250
708	56450	23169
709	56522	23086
710	56595	23004
711	56676	22925
712	56756	22845
713	56839	22767
714	56921	22688
715	57008	22612
716	57088	22532
717	57174	22455
718	57257	22377
719	57339	22298
720	57421	22219
721	57495	22138
722	57568	22056
723	57642	21974
724	57725	21895
725	57810	21818
726	57891	21739
727	57974	21660
728	58063	21584
729	58148	21506
730	58234	21429
731	58314	21350
732	58399	21272
733	58479	21192
734	58564	21115
735	58653	21038
736	58732	20958
737	58830	20885
738	58914	20807
739	58996	20728
740	59069	20646
741	59148	20566
742	59239	20490
743	59316	20410
744	59410	20335
745	59488	20254
746	59562	20172
747	59636	20091
748	59717	20012
749	59793	19931
750	59866	19849
751	59936	19766
752	60015	19686
753	60085	19603
754	60162	19523
755	60226	19438
756	60300	19356
757	60376	19275
758	60446	19193
759	60516	19110
760	60579	19025
761	60668	18949
762	60743	18867
763	60835	18791
764	60913	18711
765	60992	18632
766	61071	18552
767	61148	18471
768	61225	18391
769	61311	18313
770	61394	18235
771	61470	18154
772	61549	18074
773	61628	17994
774	61706	17914
775	61784	17834
776	61861	17754
777	61936	17673
778	62004	17590
779	62079	17509
780	62153	17428
781	62227	17347
782	62300	17265
783	62379	17186
784	62457	17106
785	62530	17024
786	62606	16944
787	62681	16863
788	62750	16781
789	62827	16700
790	62909	16621
791	62993	16543
792	63072	16464
793	63151	16384
794	63221	16302
795	63295	16221
796	63373	16141
797	63448	16060
798	63525	15980
799	63604	15901
800	63681	15820
801	63757	15740
802	63835	15660
803	63919	15582
804	63997	15502
805	64083	15424
806	64163	15345
807	64254	15268
808	64344	15191
809	64421	15111
810	64498	15031
811	64576	14951
812	64650	14870
813	64732	14791
814	64818	14713
815	64912	14637
816	64999	14559
817	65088	14481
818	65175	14403
819	65264	14326
820	65355	14249
821	65440	14170
822	65526	14092
823	65611	14014
824	65697	13935
825	65767	13854
826	65844	13774
827	65917	13693
828	65988	13611
829	66067	13531
830	66133	13449
831	66198	13366
832	66269	13285
833	66347	13205
834	66424	13125
835	66504	13046
836	66583	12966
837	66664	12887
838	66744	12807
839	66812	12726
840	66887	12645
841	66955	12564
842	67036	12484
843	67119	12405
844	67194	12325
845	67271	12245
846	67342	12164
847	67432	12086
848	67498	12005
849	67564	11923
850	67636	11842
851	67722	11764
852	67795	11683
853	67876	11604
854	67948	11523
855	68028	11444
856	68111	11365
857	68192	11285
858	68277	11207
859	68364	11129
860	68443	11049
861	68523	10970
862	68602	10890
863	68669	10809
864	68743	10728
865	68818	10648
866	68887	10567
867	68959	10487
868	69032	10406
869	69113	10327
870	69188	10247
871	69263	10167
872	69345	10088
873	69424	10008
874	69502	9928
875	69578	9848
876	69655	9769
877	69739	9690
878	69818	9610
879	69899	9531
880	69976	9452
881	70060	9373
882	70145	9294
883	70232	9216
884	70305	9135
885	70388	9056
886	70465	8977
887	70546	8897
888	70630	8818
889	70715	8740
890	70797	8660
891	70882	8582
892	70969	8503
893	71052	8424
894	71125	8344
895	71206	8265
896	71288	8185
897	71367	8106
898	71447	8026
899	71528	7947
900	71606	7868
901	71686	7788
902	71768	7709
903	71849	7630
904	71942	7551
905	72023	7472
906	72105	7393
907	72196	7315
908	72279	7235
909	72364	7156
910	72445	7077
911	72530	6998
912	72614	6919
913	72701	6840
914	72801	6763
915	72896	6684
916	72989	6606
917	73078	6527
918	73169	6449
919	73260	6370
920	73355	6292
921	73454	6214
922	73547	6135
923	73640	6057
924	73745	5979
925	73842	5901
926	73937	5822
927	74027	5743
928	74102	5663
929	74199	5584
930	74272	5504
931	74347	5424
932	74421	5344
933	74502	5264
934	74581	5184
935	74660	5104
936	74731	5024
937	74818	4945
938	74900	4865
939	74970	4785
940	75049	4705
941	75122	4625
942	75204	4545
943	75282	4465
944	75358	4385
945	75438	4306
946	75521	4226
947	75600	4146
948	75677	4066
949	75743	3986
950	75829	3907
951	75899	3826
952	75978	3747
953	76051	3667
954	76131	3587
955	76203	3507
956	76269	3426
957	76343	3347
958	76417	3267
959	76499	3187
960	76577	3107
961	76654	3027
962	76733	2948
963	76819	2868
964	76906	2789
965	76979	2709
966	77056	2629
967	77135	2549
968	77213	2470
969	77271	2389
970	77343	2309
971	77416	2230
972	77492	2150
973	77568	2070
974	77649	1991
975	77719	1911
976	77798	1831
977	77869	1751
978	77946	1671
979	78019	1592
980	78106	1512
981	78166	1432
982	78244	1353
983	78324	1273
984	78400	1193
985	78474	1114
986	78549	1034
987	78620	954
988	78691	875
989	78763	795
990	78832	715
991	78907	636
992	78989	556
993	79079	477
994	79154	397
995	79234	318
996	79318	238
997	79401	159
998	79480	79
999	79567	0
