iter	Logloss
0	0.4325435541
1	0.3033134162
2	0.2358091235
3	0.1842267558
4	0.1560303025
5	0.1336199242
6	0.1224486605
7	0.1077918118
8	0.1021247766
9	0.09625701251
10	0.08991250036
11	0.08430986256
12	0.07989097821
13	0.07535753582
14	0.07145285751
15	0.06753646183
16	0.0649034319
17	0.06241404911
18	0.05994372974
19	0.0580839634
20	0.05551277612
21	0.0527562093
22	0.05057383429
23	0.04901706765
24	0.04670331088
25	0.04491221649
26	0.04383936725
27	0.04221007963
28	0.0411199794
29	0.04034440317
30	0.03892696973
31	0.03767925209
32	0.03666789205
33	0.03536852192
34	0.03455190707
35	0.03360306606
36	0.03249745808
37	0.031584075
38	0.03086287135
39	0.03021187005
40	0.02955725424
41	0.02890838718
42	0.02804876486
43	0.02719659222
44	0.02646624613
45	0.02581788238
46	0.0251919696
47	0.02469863392
48	0.02396852856
49	0.0236815207
50	0.02329219921
51	0.02259625117
52	0.02207940372
53	0.02141756558
54	0.02099169309
55	0.02071388135
56	0.02007218247
57	0.01951861857
58	0.01894818657
59	0.01856399332
60	0.01830502925
61	0.0178808957
62	0.01759705161
63	0.01727856957
64	0.01691215158
65	0.0166809759
66	0.01630097791
67	0.0159839962
68	0.01562284136
69	0.01513282
70	0.01471455042
71	0.01451311403
72	0.01410939752
73	0.013982587
74	0.0137202382
75	0.01345035425
76	0.01318018766
77	0.01288496556
78	0.01253652395
79	0.01235413965
80	0.01219761425
81	0.0120121017
82	0.01182034324
83	0.01156984446
84	0.0114417153
85	0.01109089457
86	0.0108972695
87	0.01069614995
88	0.01063918038
89	0.01042354214
90	0.0102517087
91	0.01002541451
92	0.00986775144
93	0.009675657977
94	0.009483881054
95	0.009403677734
96	0.009348523966
97	0.009182367861
98	0.008960627285
99	0.008875131318
100	0.008785014042
101	0.008569908971
102	0.008420289481
103	0.008301953704
104	0.008250397657
105	0.008193473317
106	0.008132282075
107	0.00792144015
108	0.007718416196
109	0.007662416942
110	0.007580442843
111	0.007400593995
112	0.007332838308
113	0.007253932267
114	0.007169181881
115	0.007102900748
116	0.00700961482
117	0.006955916926
118	0.006842275292
119	0.006759926058
120	0.006664358126
121	0.006536062394
122	0.006508373944
123	0.006422892563
124	0.006320967634
125	0.006258699678
126	0.006258674268
127	0.006228536121
128	0.006165825197
129	0.006133004787
130	0.006021571863
131	0.005933567448
132	0.005933469559
133	0.005933469559
134	0.005910997929
135	0.005861392267
136	0.00568492379
137	0.005660958229
138	0.0056160396
139	0.005570214902
140	0.005534633693
141	0.005499128197
142	0.005373740044
143	0.005328190265
144	0.005300304654
145	0.005257338994
146	0.00515813485
147	0.005132064885
148	0.005132064885
149	0.005116702495
150	0.005074481406
151	0.005026459547
152	0.004964926574
153	0.00487815258
154	0.004830735896
155	0.004799140322
156	0.004763343747
157	0.004719615028
158	0.004697049248
159	0.00463668666
160	0.004614266739
161	0.004545302294
162	0.004523883393
163	0.004513977479
164	0.004479363043
165	0.004479363043
166	0.004479363043
167	0.004467153575
168	0.004422082838
169	0.004351202449
170	0.00433224022
171	0.004332201093
172	0.004324156987
173	0.004301114828
174	0.004268473725
175	0.004268494134
176	0.004268494134
177	0.004245153932
178	0.004208414304
179	0.004163772588
180	0.00414750662
181	0.004094992626
182	0.004052805936
183	0.004016484129
184	0.003962893718
185	0.003915744138
186	0.003878449261
187	0.003790970815
188	0.003790931839
189	0.003769451335
190	0.003732450359
191	0.00371815884
192	0.003718162144
193	0.003718123411
194	0.003718080128
195	0.00371806826
196	0.00371806826
197	0.003718120207
198	0.003718085015
199	0.003718079165
200	0.003718034345
201	0.003718028486
202	0.003718046087
203	0.003718023447
204	0.003717972641
205	0.003717998741
206	0.003717982239
207	0.003717973647
208	0.003717954623
209	0.003717911478
210	0.00371793329
211	0.003717881923
212	0.003717923141
213	0.003717918415
214	0.003717863459
215	0.003717860034
216	0.003717850855
217	0.003717847554
218	0.003717831155
219	0.003717830154
220	0.003717838758
221	0.00371785985
222	0.003717847475
223	0.003717856207
224	0.003717782766
225	0.003717792479
226	0.003717768555
227	0.003717724488
228	0.003717702478
229	0.003717679405
230	0.003717666902
231	0.003717636539
232	0.003717637807
233	0.003717618962
234	0.003717625878
235	0.003717596486
236	0.00371758865
237	0.003717587908
238	0.003717581595
239	0.003717597197
240	0.003717597719
241	0.003717561977
242	0.003717567382
243	0.003717580277
244	0.003717555629
245	0.003717531264
246	0.003717518383
247	0.003717518383
248	0.003688901765
249	0.003688867916
250	0.003688867916
251	0.003670572801
252	0.003670545771
253	0.003670545771
254	0.003670545771
255	0.003670545771
256	0.003670557125
257	0.003670549634
258	0.00367052639
259	0.003670489629
260	0.003670424445
261	0.003670455545
262	0.003670456497
263	0.00367032554
264	0.003670328688
265	0.003670241407
266	0.003670241407
267	0.003670241407
268	0.003670241407
269	0.003670241407
270	0.003670241407
271	0.003670257329
272	0.003670233521
273	0.003670112476
274	0.003670143758
275	0.003670143444
276	0.003670089868
277	0.003670089144
278	0.003670065588
279	0.003670099083
280	0.003670090798
281	0.003669997971
282	0.003670004583
283	0.003670008224
284	0.003669943972
285	0.003669956193
286	0.003669956193
287	0.003669968232
288	0.003669911554
289	0.003669902503
290	0.003669848897
291	0.00366988445
292	0.003669866978
293	0.003669849631
294	0.003669862005
295	0.003669879513
296	0.003669778163
297	0.003669790901
298	0.003669748768
299	0.003669767034
300	0.003669718124
301	0.003669695387
302	0.003669701874
303	0.003669683236
304	0.003669710529
305	0.003669623855
306	0.003669652473
307	0.003669580481
308	0.003669580481
309	0.003669595616
310	0.003669550442
311	0.003669565839
312	0.003631699169
313	0.003631699169
314	0.003631699169
315	0.003631634684
316	0.003631594722
317	0.003631594722
318	0.003631594722
319	0.003631594722
320	0.003631594722
321	0.003631594722
322	0.003631594722
323	0.003631616263
324	0.003631594096
325	0.003631594096
326	0.003631594096
327	0.003631594096
328	0.003631594096
329	0.003631594096
330	0.003631570324
331	0.003631554717
332	0.003631529757
333	0.003631499156
334	0.003631499156
335	0.003631499156
336	0.003631499156
337	0.003631499156
338	0.003631499156
339	0.003631499156
340	0.003631499156
341	0.003631499156
342	0.003631499156
343	0.003631499156
344	0.003631499156
345	0.003592131327
346	0.003559075945
347	0.003559075945
348	0.003559059189
349	0.003559048569
350	0.003559020378
351	0.003559026602
352	0.003559020222
353	0.003559044057
354	0.003558966577
355	0.003559017042
356	0.003558989727
357	0.003558978226
358	0.003558959978
359	0.003558959978
360	0.003558931979
361	0.003558959037
362	0.003558971224
363	0.003558914476
364	0.003558925315
365	0.003558875754
366	0.003558914388
367	0.00355889394
368	0.003558868596
369	0.003558899451
370	0.003558844797
371	0.003558888946
372	0.003558845652
373	0.003558847587
374	0.003558818764
375	0.003558803783
376	0.003558829598
377	0.003558773371
378	0.003558802977
379	0.003558730452
380	0.003558745855
381	0.003558719541
382	0.003558704766
383	0.003558679942
384	0.003558665968
385	0.003558665968
386	0.003558665968
387	0.003558683313
388	0.003558698691
389	0.003558677585
390	0.003558637212
391	0.003558664072
392	0.003558662083
393	0.003558628118
394	0.003558664317
395	0.003558644027
396	0.003558631438
397	0.00355864494
398	0.00355864494
399	0.00355864494
400	0.003558657855
401	0.003558593271
402	0.003558587251
403	0.003558604212
404	0.003558564333
405	0.003558583283
406	0.003558583364
407	0.003558556766
408	0.003558596535
409	0.00355855411
410	0.003558544815
411	0.003558544815
412	0.003558538956
413	0.003558522376
414	0.00355848507
415	0.003558513742
416	0.00355851126
417	0.003558495199
418	0.003558466358
419	0.003558466358
420	0.003558500333
421	0.00355847994
422	0.003558449402
423	0.003558446114
424	0.003558446114
425	0.003558457036
426	0.003558457036
427	0.003558458205
428	0.003558391558
429	0.003558416542
430	0.00355834572
431	0.003558360459
432	0.003558388091
433	0.003491422511
434	0.003464008754
435	0.003407229068
436	0.003407212871
437	0.003364103945
438	0.003333000984
439	0.003320371056
440	0.003302212932
441	0.003302167226
442	0.003302147932
443	0.003302176709
444	0.003302132736
445	0.003302135154
446	0.003302116449
447	0.003302084739
448	0.003302095513
449	0.003302053791
450	0.003302063423
451	0.00330203972
